+	力	辟	己	病	忧	益	欲	性	忠	志	众	患	博	修	安	乐	视	宗	变	劳	恕	生	义	谋	施	谷	学	观	文	小人	祭	惧	圣	相	失	畏	用	贫	衣	耻	孝	听	名	佞	庙	笃	气	国	老	辱	世	死	同	艺	达	和	居	亲	易	骄	丧	父	反	中	天	危	让	信	勇	器	行	乡	宽	加	俭	游	士	惑	君	恭	隐	色	识	乱	哀	道	怀	臣	服	心	爱	伐	惠	神	身	弟	内	慎	进	鬼	异	正	古	室	罪	愚	党	知	损	容	明	政	兴	利	敏	言	贵	退	才	治	善	位	德	命	敬	天命	泰	难	狂	民	免	近	蔽	宰	教	贤	辞	杀	兄	得	朝	亡	质	家	废	友	仕	直	长	人	美	归	简	荡	仁	止	过	诗	孙	怨	思	节	食	君子	礼	富	邦
教	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	4	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	1	0	0	0	2	0	2	0
贤	1	1	0	0	1	1	2	0	0	0	1	0	1	0	0	2	0	1	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	1	0	1	1	0	1	0	0	1	0	0	2	0	1	1	0	0	0	0	1	1	0	1	1	0	2	1	0	1	3	0	0	0	1	0	0	0	0	1	0	1	1	0	0	1	0	1	1	0	0	0	4	1	1	0	1	0	1	0	3	0	0	1	0	3	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	4	1	0	0	2	0	3	0	0	0	8	1	0	0	0	2	0	2	0	0	1	1	1	2	2	1	1	2
辞	1	0	0	0	1	0	2	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	2	1	0	0	0	2	0	1	1	0	0	0	0	0	0	0	2	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	1	0	1	0	0	0	0	3	0	1	1
杀	1	0	0	0	0	0	3	0	0	1	1	0	0	0	0	0	1	0	0	1	0	1	1	0	0	1	0	0	0	1	0	0	0	1	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	1	0	2	0	1	1	0	0	0	1	0	3	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	2	0	1	0	1	0	0	0	0	2	0	1	0	0	0	1	0	0	3	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	1	0	2	4	1	0	0	0	4	1	0	0	0	1	0	1	1	4	0	0	1
兄	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1
得	0	1	0	1	0	0	6	1	2	0	3	2	0	2	0	2	3	1	0	1	0	1	2	0	0	1	2	0	3	0	3	0	1	0	4	2	1	1	1	0	0	1	1	0	1	0	2	1	1	0	1	7	0	0	0	1	0	2	1	1	4	2	2	2	9	1	2	4	0	1	8	0	2	0	2	1	2	1	3	4	0	4	0	1	3	6	0	3	0	1	0	0	2	0	1	0	0	1	1	0	2	3	2	2	1	0	0	6	0	0	1	7	1	1	2	7	1	1	0	0	6	0	4	2	3	0	2	3	1	6	0	0	1	1	1	4	0	1	0	0	2	1	0	2	1	0	1	0	0	15	3	2	1	1	9	0	3	1	0	2	2	0	5	10	3	3	4
朝	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	3	1	0	1	0	1	0	2	3	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	1	0	0	0	3	0	2	0	1	1	0	1	2	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	2	0	0	0	2	1	0	0	0	1	4	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0
亡	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	4	1	0	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	4	0	1	0	1	1	0	1	0	0	0	0	0	0	2	1	1	1
质	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	3	1	0	1
家	1	1	1	0	1	0	2	0	0	0	0	1	0	1	1	1	0	1	0	0	0	1	1	1	1	0	0	1	1	0	1	0	0	2	0	0	1	1	0	0	0	0	0	0	1	0	0	2	0	0	1	1	0	0	1	2	1	0	0	0	0	0	0	1	2	1	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	1	0	1	1	1	0	1	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	1	1	4	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	2	1	0	0	2	2	0	1	0	0	0	0	1	0	3	1	0	0	0	3	1	1	0	1	1	0	0	0	2	0	1	5
废	2	0	0	0	0	0	1	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	1	0	0	1	0	1	4	1	0	0	1	0	0	4	0	1	0	0	0	0	1	1	0	2	0	0	1	0	4	0	2	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	1	1	1	0	1	2	0	0	0	0	1	0	0	2	0	0	0	0	0	2	1	0	1	0	0	0	0	1	1	1	1	0	0	0	0	0	1	0	1	3	0	1	1	0	1	1	1	0	0	0	0	1	2	2	0	1	1
友	1	1	2	0	0	2	1	0	4	1	0	0	0	0	1	1	0	0	0	1	0	0	0	1	2	0	2	0	1	0	1	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	1	2	0	1	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	5	0	1	0	0	0	0	0	1	2	0	2	1	0	2	0	0	0	2	1	0	0	0	0	1	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	3	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	1	0	3	0	1	0	0	3	1	2	0	0	1	0	1	0	2	1	0	1
仕	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	1	0	2	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	1	1	1	0	1	0	0	2	1	0	0	0	0	0	1	1	2	0	0	3
直	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	3	1	0	0	0	2	0	1	1	0	0	2	3	0	2	1	0	0	0	0	2	0	0	1	1	1	0	2	0	3	1	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	2	1	4	1	0	0	0	1	0	0	3	0	1	0	0	1	0	1	0	0	0	0	0	3	4	1	0	1	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	0	6	0	0	0	2	4	0	0	0	1	1	0	0	0	3	2	1	3
长	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	2	0	1	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	1	1	0	0	0	2	0	0	0	1	0	1	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	1	0	1	0	0	1	0	1	0	1	2	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	3	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	1	0	0	3	0	1	0	1	1	1	0	0	1	0	0	1	1	4	1	0	1
人	1	1	13	4	5	1	13	0	3	3	6	4	2	5	4	13	4	3	0	1	2	6	5	2	4	1	9	4	7	6	2	0	5	2	3	3	6	3	1	2	3	4	1	3	2	0	1	5	1	1	4	8	3	1	6	2	5	4	4	2	4	4	3	4	12	2	2	9	4	1	19	5	2	2	1	3	5	3	7	5	2	4	2	4	1	19	0	8	5	1	3	2	3	1	6	5	2	0	5	1	4	5	3	3	1	0	3	24	1	2	1	7	2	2	4	26	3	6	3	1	18	0	5	9	6	1	2	5	0	10	1	4	1	4	2	8	2	4	2	15	4	4	1	3	3	3	1	6	3	0	2	4	1	1	19	2	10	0	2	8	1	4	7	30	14	4	11
美	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	2	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	1	0	3	0	0	0	2	0	0	0	1	0	1	0	1	1	0	1	0	3	0	0	0	0	0	1	1	0	1	1	0	0	0	1	1	0	1	0	3	1	0	0	1	0	0	0	0	0	2	0	0	0	0	2	0	0	1	0	1	0	1	1	2	2	2	0
归	0	0	1	0	0	0	1	0	0	1	1	0	0	1	1	2	1	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	1	0	1	0	0	0	0	1	0	0	1	0	0	2	0	0	1	1	1	0	0	0	2	1	0	0	1	0	1	1	3	0	1	1	1	1	2	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	4	0	0	0	1	1	0	2	3	0	0	0	0	2	0	1	1	0	0	0	0	1	3	0	0	1	0	0	0	0	0	0	2	1	1	0	0	1	1	1	0	1	4	0	0	2	0	3	0	1	0	0	0	0	0	1	2	3	1	3
简	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	1	1	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	1	0	1	1	0	0	0	0	1	0	0	1	1	0	0	0	1	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	2	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0
荡	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	2	2	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0
仁	3	0	4	1	2	0	8	0	2	4	6	0	2	1	2	4	2	0	0	2	0	3	2	0	2	1	4	2	2	1	2	2	2	1	2	1	3	2	2	0	2	1	1	1	0	2	0	2	0	0	2	5	0	1	3	0	5	3	0	1	2	1	0	2	6	0	1	4	6	1	5	1	2	1	0	1	4	2	0	3	0	4	0	4	0	5	2	1	0	2	3	1	2	1	2	3	0	1	0	1	0	2	1	1	1	1	1	16	0	0	0	3	2	4	4	11	1	1	0	1	3	0	2	2	3	0	1	5	1	9	1	3	2	1	1	2	0	4	0	9	1	1	1	3	1	3	2	4	1	19	2	3	1	1	0	0	2	0	0	4	1	0	3	9	5	3	5
止	1	0	0	0	1	0	2	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	1	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	1	1	3	0	3	1	0	0	1	0	0	1	0	1	0	2	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	1	1	1	0	1	2	0	0	0	0	0	0	1	0	1	0	0	1	1	2	0	0	1
过	1	2	3	0	1	0	3	0	2	0	1	1	0	2	1	1	0	0	0	0	0	0	1	1	0	0	4	1	2	1	1	0	1	1	0	0	2	1	1	1	0	0	0	0	0	0	1	2	0	0	3	1	2	0	0	1	0	1	2	0	1	0	0	3	2	1	0	4	1	0	5	0	1	1	0	1	1	0	1	0	0	1	0	0	0	3	0	2	1	2	0	1	0	0	0	1	2	0	2	0	1	0	0	0	1	0	2	5	0	1	0	3	1	0	1	7	0	3	1	0	1	1	2	2	0	0	0	1	0	1	0	1	1	1	0	2	1	0	0	3	0	1	0	1	1	2	0	0	0	10	0	1	1	0	2	1	0	1	1	0	0	0	2	7	2	1	1
诗	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	2	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	1	5	1	0
孙	1	0	0	0	1	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	2	1	0	0	0	1	1	0	0	0	0	0	0	1	0	2	0	1	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	1	2	0	0	0	0	0	1	1	0	0	1	0	0	0	3	2	0	2
怨	0	0	1	0	0	0	3	0	0	1	1	0	0	0	0	0	1	0	0	2	0	0	0	0	2	0	2	1	0	1	1	0	0	0	0	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	2	0	2	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	1	1	2	1	2	0	0	0	0	0	0	1	0	1	0	1	3	0	2	0	1	0	0	1	1	0	1	0	2	0	0	0	1	0	1	0	1	0	8	1	0	0	0	4	0	0	1	1	0	0	0	1	2	0	1	1
思	0	0	0	0	0	1	1	0	1	1	0	0	1	0	0	1	1	0	0	0	0	1	3	0	0	0	3	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	2	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	3	0	0	0	0	0	1	0	2	2	0	0	1	0	0	0	1	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	2	1	0	0
节	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	1	0	1	0	0	1	0	4	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	1	0	1	4	1	0	0	0	0	1	0	0	0	0	0	0	1	2	2	0	0
食	1	0	0	0	3	1	3	0	0	1	1	0	1	1	2	4	1	0	1	1	0	3	2	1	0	2	3	0	0	0	3	0	0	0	1	0	2	2	4	1	2	0	1	0	1	0	1	1	1	0	1	1	0	0	0	0	3	2	0	0	3	2	1	4	2	0	0	3	0	0	3	0	1	1	0	0	1	0	4	0	1	2	0	2	0	5	1	3	3	2	1	0	1	1	2	1	0	1	0	1	0	3	1	1	1	0	0	2	0	0	2	3	1	0	2	4	2	0	0	0	3	0	0	2	1	0	0	2	0	2	1	0	1	0	0	2	0	1	0	5	1	0	0	0	2	0	1	0	1	7	1	1	1	0	3	1	2	0	0	1	1	1	0	7	1	3	0
君子	1	0	6	3	5	0	8	0	2	1	2	3	1	2	5	5	2	1	1	3	0	4	7	2	1	2	10	1	6	18	0	2	4	2	1	2	4	3	4	1	1	2	3	0	1	2	2	2	1	0	2	4	3	1	1	3	8	3	2	2	3	1	2	4	8	1	2	4	5	2	10	1	0	1	0	1	0	1	2	5	2	5	0	4	2	17	3	3	3	0	2	1	3	0	3	2	3	3	3	0	3	4	0	0	0	0	3	13	0	2	3	3	3	2	2	19	3	3	0	0	7	1	4	3	4	1	3	3	0	7	1	2	0	2	2	2	3	4	1	10	1	2	3	2	2	2	2	3	4	30	2	2	0	2	9	2	7	1	3	2	2	2	7	0	12	3	4
礼	0	0	1	0	1	2	3	0	1	1	1	1	3	0	2	11	1	2	0	1	0	4	4	0	0	1	5	1	5	1	1	0	0	1	4	0	3	1	1	2	1	1	1	0	2	1	0	3	1	1	2	2	2	1	0	1	4	2	2	2	3	1	1	1	4	1	2	3	4	1	3	0	1	1	3	1	0	0	4	3	0	1	0	1	1	4	1	2	2	0	2	1	0	0	0	1	1	1	2	0	2	1	0	0	0	0	1	12	2	1	0	3	3	1	1	11	2	2	1	0	3	0	1	4	4	0	1	0	0	7	2	1	0	0	0	1	0	0	1	3	0	1	1	0	0	1	0	2	1	14	2	3	0	0	5	0	2	5	2	0	1	2	1	12	0	2	2
富	0	0	0	0	1	1	2	0	1	0	2	1	0	1	0	2	0	1	0	0	0	2	2	0	0	0	1	0	0	0	1	0	0	0	1	0	1	4	1	1	0	0	1	0	1	1	0	1	0	0	1	3	0	0	1	0	2	1	1	2	1	0	0	2	4	1	0	3	0	0	1	2	1	1	0	0	1	1	0	1	1	0	0	1	0	2	0	1	0	1	2	0	0	0	0	1	1	0	0	0	1	0	0	2	1	0	1	2	0	0	0	1	1	0	1	2	4	1	0	0	3	0	1	2	1	0	0	1	0	1	0	0	1	1	2	1	1	0	1	3	1	1	0	1	1	0	0	1	0	4	2	1	1	0	3	0	1	1	0	1	0	0	3	3	2	0	1
邦	1	0	1	0	1	0	4	0	2	1	0	1	0	1	2	4	0	1	0	0	0	1	1	1	1	1	2	1	1	0	1	0	0	2	1	0	1	2	0	2	0	0	0	1	1	2	0	2	0	0	1	2	1	0	2	2	4	0	1	0	1	1	1	2	2	3	2	2	1	2	5	0	0	1	2	0	3	0	3	2	1	2	0	2	1	8	2	2	3	0	0	1	0	0	0	0	1	1	0	0	3	0	0	0	1	1	0	7	0	0	0	2	1	2	1	9	1	0	0	0	4	0	1	0	1	0	0	1	0	2	1	1	0	0	0	2	1	1	1	4	0	1	1	5	1	1	3	3	1	11	0	3	0	0	5	1	1	0	2	1	0	0	0	4	2	1	0
